name,building_name,floor,room,category,description
결핵검사실,서울성모병원,3F,,검사,
결핵관리실,서울성모병원,12F,,시설,
경동맥초음파,서울성모병원,1F,,,검사
경동맥초음파,서울성모병원,4F,,검사,
경식도초음파,서울성모병원,4F,,검사,
경증응급실,서울성모병원,1F,,,진료
고객상담실,서울성모병원,1F,,원무,법무팀 포함
고위험산모집중치료실,서울성모병원,9F,,중환자실,MFICU
골밀도검사실,서울성모병원,2F,,검사,
골수검사실,서울성모병원,6F,,검사,
골스캔,서울성모병원,B1F,,,검사
공차,서울성모병원,B1F,,,상업
과내수술실,서울성모병원,3F,,치료,
관류스캔,서울성모병원,B1F,,,검사
관절초음파,서울성모병원,2F,,검사,
교수라운지,서울성모병원,8F,,편의,
교정과,서울성모병원,4F,,진료,
구강악안면외과,서울성모병원,4F,,진료,
근골격판독실,서울성모병원,2F,,시설,
근전도검사,서울성모병원,2F,,검사,
근전도검사,서울성모병원,3F,,검사,신경과
기계실,서울성모병원,B6F,,,시설
기계실,서울성모병원,6F,,시설,
기관지경실,서울성모병원,3F,,검사,
기능검사실,서울성모병원,3F,,검사,
기도실,서울성모병원,21F,,시설,
기립경검사,서울성모병원,2F,,검사,
기저귀교환대,서울성모병원,1F,,편의,외래약국 앞 화장실
난임센터검사실,서울성모병원,3F,,검사,
남산왕돈까스,서울성모병원,B1F,,,상업
내과의국,서울성모병원,18F,,사무,
내과의국,서울성모병원,19F,,사무,
내과중환자실,서울성모병원,5F,,의료,MICU
내분비내과,서울성모병원,1F,,,진료
내분비내과병동,서울성모병원,14F,,병동,14-1
내시경실,서울성모병원,3F,,검사,
뇌신경센터,서울성모병원,3F,,진료,
뇌유발전위검사,서울성모병원,3F,,검사,
뇌졸중병동,서울성모병원,10F,,병동,Stroke
뇌졸중집중치료실,서울성모병원,10F,,중환자실,
뇌파검사,서울성모병원,3F,,검사,
뇌혈류검사,서울성모병원,B1F,,,검사
뇌혈류초음파,서울성모병원,3F,,검사,
다학제통합진료실,서울성모병원,3F,,진료,
당뇨교육,서울성모병원,1F,,,지원
당뇨합병증검사,서울성모병원,1F,,,검사
대강당,서울성모병원,B1F,,,공용
대장암병동,서울성모병원,16F,,병동,16-2
대장암병동,서울성모병원,16F,,병동,16-2
대장항문외과,서울성모병원,1F,,,진료
대장항문외과병동,서울성모병원,15F,,병동,
